question	answer
What is the Research to Publication (RtoP) program?	Research to Publication is a research methodology and publishing program designed for doctors and healthcare researchers, developed by BMJ in collaboration with the University of California, San Francisco (UCSF).
What does the RtoP program offer?	The RtoP program includes 8 multimedia courses that guide learners through the entire research processâ€”from study design to publication in an international journal.
Who provides the instruction in the RtoP program?	The program is led by BMJ research editors and UCSF academics.
What skills does RtoP aim to teach?	RtoP helps learners acquire skills to conduct healthcare research and address challenges related to publishing in international journals.
How many courses and modules are included in the RtoP program?	The program consists of 8 courses and 52 modules, offering over 200 hours of learning.
How can I access the RtoP program?	You can access the Research to Publication program through the library portal.
What do I need to register for the RtoP program?	You need to register your account using your RCSI email address.
What are the benefits of completing the RtoP program?	Benefits include improving research quality, advancing your career through publication, self-paced learning, understanding barriers to publication, contributing to better patient outcomes, and receiving a certificate of completion for each module.
Do I receive certification for the RtoP modules?	Yes, you receive a certificate of completion from BMJ and UCSF for every module passed.
What is Covidence?	Covidence is a web-based platform designed to streamline the process of conducting a comprehensive literature review, particularly for systematic reviews.
Who typically uses Covidence?	Covidence is primarily used by researchers conducting systematic reviews and is especially useful in health sciences, though it's suitable for any evidence-based academic discipline.
How can I create a Covidence account through RCSI Bahrain?	Visit the RCSI Bahrain Covidence Sign Up page, enter your name and RCSI email, and follow the email invitation to create an account.
Can I use Covidence if I'm not affiliated with RCSI Bahrain?	You can serve as a reviewer, but only RCSI Bahrain affiliates can create new reviews under the institutional license.
What can I do with Covidence?	Covidence allows you to conduct citation screening, full-text review, risk of bias assessment, data extraction, and data export, all within a single platform.
How do I start a new review in Covidence?	After signing in, click "Create new review" on the home page, select RCSI Bahrain as your organization, and input your review details.
How do I adjust review settings in Covidence?	Go to the review dashboard, click â€œSettings,â€ and under "Review Settings," you can change the title, reviewer numbers, and criteria.
How do I add reviewers to a Covidence project?	Add reviewers via the Settings menu using their name and email; they must accept the invitation via email to join.
How do I customize screening criteria and exclusion reasons?	Navigate to "Criteria & exclusion reasons" in Settings to manage screening criteria, exclusion reasons, and highlights.
How do I import references into Covidence?	Click "Import" on your Review Summary page and upload references in EndNote XML, PubMed, or RIS text formats.
What is the file size and reference limit for imports?	You can import files up to 50 MB and 15,000 references per file.
How does Covidence handle duplicate references?	Covidence automatically checks for and removes duplicates during import, which are recorded in the PRISMA chart.
Can I undo an import in Covidence?	Yes, as long as no articles have been screened, you can undo an import via the Manage Imports menu.
How do I screen references in Covidence?	Use the Screen tab to assess title/abstracts or full texts, voting Yes, No, or Maybe. Votes determine progression to next review stages.
How are screening conflicts resolved?	Conflicting votes are resolved on the Resolve Conflicts page, with blind voting to minimize bias.
What is the PRISMA diagram in Covidence?	The PRISMA diagram is auto-populated and updates as you progress, including duplicates and reasons for full-text exclusions.
How do I assess study quality in Covidence?	Use built-in or customized Quality Assessment templates, such as Cochrane Risk of Bias, after full-text review.
Can I use multiple tools in one review for Quality Assessment?	No, only one QA tool can be used per review, though you can mix domains from multiple tools within that form.
What is the data extraction process in Covidence?	After QA, extract data using a form that follows the PICO format. This form becomes the template for other studies.
How do I finalize data extraction?	After two reviewers extract data, compare and reach consensusâ€”this consensus data is used for exports.
How do I tag studies or references in Covidence?	Use predefined or custom tags in the Study Tags section or during review, which can also be used as filters.
What default tags are available in Covidence?	Covidence includes â€œOngoing Studyâ€ and â€œAwaiting Classificationâ€ as default tags, which are counted in the PRISMA flowchart.
Where can I find more help or training for Covidence?	Access Covidence webinars, YouTube videos, the Knowledge Base, or request consultations via bnair@rcsi-mub.com.
What are impact measures in research?	Impact measures are quantitative indicators, such as bibliometrics, used to evaluate research outputs for grant applications, promotions, and to demonstrate the influence of research.
Why should I measure or track my research impact?	Measuring impact can support job applications, funding renewals, new funding requests, and show how your research is being used.
What is bibliometrics?	Bibliometrics involves analyzing publication profiles and citations to assess a researcher's influence or impact.
What are common bibliometric indicators?	Impact factor and h-index are commonly used indicators in bibliometrics.
What is SciVal?	SciVal is a benchmarking tool using Scopus data to assess research performance, identify trends, and support strategic planning.
What can I do with SciVal?	You can benchmark performance, identify research trends and collaborators, and create reports for funding applications.
Why should I use multiple metrics instead of just one?	A range of metrics provides a fuller picture of research impact and should complement, not replace, peer review.
What are altmetrics?	Altmetrics track the early impact of research by monitoring social media, blogs, websites, and online reference managers.
How do altmetrics complement traditional metrics?	They offer insights into the broader impact and engagement of research beyond academia and are available more quickly than traditional citations.
Where can I find altmetrics?	Altmetrics are often embedded in databases like Scopus, EBSCOhost, ScienceDirect, ProQuest, and in platforms such as PlumX and Altmetric.com.
What are some strengths of altmetrics?	Altmetrics are timely and diverse, capturing engagement with research outputs beyond academic articles.
What is the Journal Impact Factor (IF)?	It is a measure of how often the average article in a journal is cited in a particular year.
Where can I find Journal Impact Factors?	Impact Factors are available through Journal Citation Reports (JCR), which covers about 7,500 journals.
How is Article Influence Score calculated?	It is derived by dividing the Eigenfactor by the number of articles in a journal, using a 5-year citation window.
What are limitations of journal metrics like JIF and Eigenfactor?	They do not assess individual article quality, vary across disciplines, can be manipulated, and don't necessarily reflect an author's influence.
Can journal metrics be compared across disciplines?	No, metrics like JIF and Eigenfactor should not be used to compare journals across different subject fields.
Where can I learn more about impact metrics?	Resources include the Metrics Toolkit, Altmetric for Researchers, and the SPARC primer on article-level metrics.
What is the Journal Impact Factor (JIF)?	The Journal Impact Factor is a measure of how often the average article in a journal has been cited in a particular year, based on data from Journal Citation Reports (JCR).
Where can I access Journal Impact Factors?	Impact Factors are available exclusively through Journal Citation Reports (JCR), accessible via Web of Science through the library portal.
How is the Journal Impact Factor calculated?	JIF is calculated by averaging the number of citations received by articles published in a journal during the two preceding years.
